日期,东北地区,华北地区,西北地区,华中地区,华东地区,西南地区
2019-10-18,1.2,18.59,17.2,0.31,5.2,3.68
2019-10-25,1,21.75,20.4,0.33,4.18,3.82
2019-11-01,1,25.82,23.6,0.31,5.1,4.49
2019-11-08,0.9,28.93,31,0.38,5.67,4.6
2019-11-15,0.8,24.13,34.1,1.6,4.55,4.11
2019-11-22,0.7,19.55,29.1,1.44,4.65,4.5
2019-11-29,0.4,17.91,23.26,1.33,4.65,4.5
2019-12-06,0.4,14.85,19.3,0.41,5.8,4.98
2019-12-13,0.4,14.65,20.3,0.39,5.95,4.14
2019-12-20,0.6,15.83,23.2,0.27,6,4.1
2019-12-27,1.6,14.45,19.7,0.3,6.3,4.3
2020-01-03,1.6,13.82,15.5,0.2,4.95,4.18
2020-01-10,1.1,23,20.6,0.25,5.05,3.8
2020-01-17,1.8,21.95,20.1,0.35,3.7,4.31
2020-01-24,1.6,22.9,23.1,0.3,3.8,4.34
2020-01-31,1.2,36.9,36,0.4,15.1,4.87
2020-02-07,1.2,35.4,39.75,0.6,22.1,4.2
2020-02-14,1.9,35.75,37.13,0.5,22.7,3.25
2020-02-21,1.6,27.15,37.15,0.38,19.34,4.16
2020-02-28,1.4,25.45,38.4,0.55,13.7,4.8
2020-03-06,1.4,30.57,41,0.7,10.3,7.7
2020-03-13,1.6,31.8,40.5,1.11,12.45,10
2020-03-20,1.5,29.43,40.25,1.42,13.25,11.1
2020-03-27,1.6,24.53,41.3,1.52,15.5,10.3
2020-04-03,1.7,22.98,39.9,2.3,15.8,9.9
2020-04-10,2.2,20.34,34.2,2.02,14.1,9.28
2020-04-17,2.5,19.34,31.8,1.45,12.2,9.9
2020-04-24,2.3,20.97,32.5,1.24,10.15,7.7
2020-05-01,1.6,18.08,27.1,1.1,7,6.35
2020-05-08,1.4,18.14,23.85,1.16,7.2,6.38
2020-05-15,1.7,17.26,30.8,1.12,7.06,6.4
2020-05-22,1.8,14.14,26.8,1,6.5,6.65
2020-05-29,1.6,14.96,23.2,0.4,5,7.2
2020-06-05,2.88,11.67,17.8,0.12,5.1,6.8
2020-06-12,2.78,10.94,16.8,0,5.8,5.3
2020-06-19,3.35,10.08,16.2,0,2.9,6.1
2020-06-26,2.63,10.58,15.7,0,2.07,7.61
2020-07-03,1.85,13.65,12.2,0.15,2.85,6.8
2020-07-10,1.26,14.84,15.3,0.1,3.2,7.75
2020-07-17,1.55,13.34,19.75,0.4,3.6,8.95
2020-07-24,2.34,13.23,20.7,0.3,5.4,6.66
2020-07-31,2.15,13.75,19,0.2,5.51,6.4
2020-08-07,1.9,10.45,13.15,0.2,5.62,6.62
2020-08-14,2.1,10.08,7.7,0.35,5.42,5.9
2020-08-21,1,9.78,9.8,0.25,6.207,6.34
2020-08-28,0.5,9.43,7.7,0.22,6.04,5.9
2020-09-04,0.5,9.89,6.3,0.28,5.92,6.66
2020-09-11,0.6,12,8.15,0.33,4.71,6.37
2020-09-18,0.4,11,7.84,0.83,4.55,6.87
2020-09-25,0.3,9.88,5.95,0.79,3.15,6.74
2020-10-02,0.5,10.08,6.38,0.82,2.02,6.7
2020-10-09,0.7,10.54,6.39,0.85,3.49,6.19
2020-10-16,1.9,9.51,8.2,0.83,1.1,5.81
