日期,产能<100,产能100-200,产能≥200
2019-10-18,6.45,9.13,30.6
2019-10-25,7.06,8.88,35.54
2019-11-01,8.26,10.89,41.17
2019-11-08,7.82,13.67,49.99
2019-11-15,8.37,12.51,48.41
2019-11-22,7.3,10.15,42.49
2019-11-29,5.9,6.7,39.45
2019-12-06,4.65,6.75,34.34
2019-12-13,4.2,6.25,35.38
2019-12-20,4.71,7.05,38.24
2019-12-27,3.6,8.5,34.55
2020-01-03,2.83,9.05,28.37
2020-01-10,5.7,12.4,35.7
2020-01-17,6.31,11.35,34.55
2020-01-24,6.25,11.2,38.59
2020-01-31,6.65,20.85,66.97
2020-02-07,9.1,22.25,71.9
2020-02-14,10.95,20.25,70.03
2020-02-21,11.64,16.01,62.13
2020-02-28,12.1,14.5,57.7
2020-03-06,13.3,13.7,64.67
2020-03-13,15.45,17.6,64.41
2020-03-20,14.55,16.55,65.85
2020-03-27,13.2,17.6,63.95
2020-04-03,14.9,17.6,60.08
2020-04-10,14.8,16.48,50.86
2020-04-17,15.68,14.76,46.75
2020-04-24,12.3,16.59,45.97
2020-05-01,9.2,13.55,38.48
2020-05-08,8.58,11.7,37.85
2020-05-15,9.4,12.67,42.27
2020-05-22,8.95,12.12,35.82
2020-05-29,7.9,10.73,33.73
2020-06-05,7.78,9.73,26.86
2020-06-12,7.18,8.3,26.14
2020-06-19,7.45,7.28,23.9
2020-06-26,7.33,8.41,22.85
2020-07-03,6.3,8.45,22.75
2020-07-10,8.01,9.14,25.3
2020-07-17,10.1,9.09,28.4
2020-07-24,9.09,7.85,31.69
2020-07-31,10.45,7.2,29.36
2020-08-07,7.64,7.02,23.28
2020-08-14,7.21,5.01,19.33
2020-08-21,6.16,5.86,21.357
2020-08-28,5.28,5.43,19.08
2020-09-04,5.68,6.71,17.16
2020-09-11,5.52,6.46,20.18
2020-09-18,5.36,6.43,19.7
2020-09-25,5.33,6.13,15.35
2020-10-02,5.49,5.86,15.15
2020-10-09,6.01,6.07,16.08
2020-10-16,6.54,4.3,16.51
