年份,省份,城市,房价
2011,吉林,长春,6691
2011,吉林,吉林,5558
2012,吉林,长春,6551
2012,吉林,吉林,5758
2013,吉林,长春,7229
2013,吉林,吉林,5552
2014,吉林,长春,6997
2015,吉林,长春,6770
2015,吉林,吉林,4684
2015,吉林,松原,4184
2015,吉林,白城,3976
2015,吉林,辽源,3944
2015,吉林,通化,3272
2016,吉林,长春,6837
2016,吉林,吉林,5434
2016,吉林,延边,4710
2016,吉林,松原,4376
2016,吉林,白城,4157
2016,吉林,辽源,4000
2016,吉林,通化,3856
2016,吉林,四平,3678
2017,吉林,长春,7482
2017,吉林,吉林,5800
2017,吉林,白城,4975
2017,吉林,延边,4876
2017,吉林,四平,4723
2017,吉林,通化,4497
2017,吉林,松原,4430
2017,吉林,辽源,4037
2017,吉林,白山,3440
2018,吉林,长春,9195
2018,吉林,吉林,6599
2018,吉林,延边,5379
2018,吉林,白城,5208
2018,吉林,通化,5072
2018,吉林,四平,5014
2018,吉林,松原,4573
2018,吉林,辽源,4188
2018,吉林,白山,3817
2019,吉林,长春,9590
2019,吉林,吉林,7528
2019,吉林,延边,5336
2019,吉林,四平,5151
2019,吉林,通化,5140
2019,吉林,白城,4894
2019,吉林,辽源,4641
2019,吉林,松原,4546
2019,吉林,白山,4157
2020,吉林,长春,9571
2020,吉林,吉林,7876
2020,吉林,四平,5470
2020,吉林,延边,5366
2020,吉林,通化,5149
2020,吉林,白城,4877
2020,吉林,松原,4609
2020,吉林,辽源,4579
2020,吉林,白山,4162
