型号,brand,index_zol,price,OLED,IP,full_screen,screen_per,screen_size,back_cam_lst,back_cam_num,back_cam_1,back_cam_2,back_cam_3,back_cam_4,back_cam_5,front_cam_lst,front_cam_num,front_cam_1,front_cam_2,front_cam_3,front_cam_4,front_cam_5,CPU_brand,CPU,ram,rom,5G,dpi,ppi,size,device_length,device_width,device_thickness,fingerprint_type,release_date,releaseY,releaseM,wireless_charge,quick_charge,battery_vol
华为畅享20 Plus（6GB/128GB/全网通/5G版）参数,华为手机,1334934,,,,1,92,6.63,4800万像素主镜头+800万像素超广角/景深镜头+200万像素微距镜头高清级像素高清像素手机>,3,4800,800,200,,,1600万像素>高清级像素高像素自拍手机>,1,1600,,,,,联发科,联发科 MT6853 5G手机性能排行>,6,128,1,2400x1080,397ppi,163.5x76.5x8.95mm,163.5,76.5,8.95,侧面指纹 ,2020年9月10日,2020,9,,1,4200
苹果iPhone 12（4GB/64GB/全网通/5G版）参数,苹果手机,1331417,,1,IP68,1,,6.1,1200万像素超广角镜头+1200万像素广角镜头高清级像素高清像素手机>,2,1200,1200,,,,1200万像素高清级像素高像素自拍手机>,1,1200,,,,,苹果,苹果 A14手机性能排行>,4,64,1,2532x1170,460ppi,146.7x71.5x7.4mm,146.7,71.5,7.4,,2020年10月16日,2020,10,1,1,2851
苹果iPhone 12 Pro（6GB/128GB/全网通/5G版）参数,苹果手机,1280739,,1,IP68,1,,6.1,1200万像素超广角摄像头+1200万像素广角摄像头+1200万像素长焦摄像头高清级像素高清像素手机>,3,1200,1200,1200,,,1200万像素高清级像素高像素自拍手机>,1,1200,,,,,苹果,苹果 A14手机性能排行>,6,128,1,2532x1170,460ppi,146.7x71.5x7.4mm,146.7,71.5,7.4,,2020年10月16日,2020,10,1,1,2815
华为Mate30 Pro（8GB/256GB/全网通/5G版/玻璃版）参数,华为手机,1265181,,1,IP68,1,,6.53,4000万像素电影超广角镜头+4000万像素超感光镜头+800万像素长焦镜头+3D深感镜头高清级像素高清像素手机>,4,4000,4000,800,3,,3200万像素高清级像素高像素自拍手机>,1,3200,,,,,海思,海思 麒麟 990 5G手机性能排行>,8,256,1,2400x1176,,158.1x73.1x8.8mm,158.1,73.1,8.8,屏幕指纹 ,2019年11月01日,2019,11,1,1,4500
华为Mate40 Pro+（12GB/256GB/全网通/5G版）参数,华为手机,1337289,,1,IP68,1,,6.76,"5000万像素主镜头+2000万像素电影镜头
（超广角）+1200万像素长焦镜头+800万像素超级变焦镜头+3D深感摄像头高清级像素高清像素手机>",5,5000,2000,1200,800,3,1300万像素+3D深感摄像头高清级像素高像素自拍手机>,2,1300,3,,,,海思,海思 麒麟9000手机性能排行>,12,256,1,2772x1344,,162.9x75.5x8.8mm,162.9,75.5,8.8,屏幕指纹 ,2020年10月30日,2020,10,1,1,4400
华为nova 7 SE（8GB/128GB/5G版/全网通/活力版）参数,华为手机,1343097,,,,1,,6.5,6400万像素+800万像素+200万像素+200万像素高清级像素高清像素手机>,4,6400,800,200,200,,1600万像素>高清级像素高像素自拍手机>,1,1600,,,,,联发科,联发科 天玑800U手机性能排行>,8,128,1,2400x1080,405ppi,162.31x75x8.58mm,162.31,75,8.58,侧面指纹 ,2020年10月16日,2020,10,,1,4000
华为Mate40 Pro（8GB/256GB/全网通/5G版/玻璃版）参数,华为手机,1337287,,1,IP68,1,,6.76,5000万像素主镜头+2000万像素电影镜头（超广角）+1200万像素长焦镜头高清级像素高清像素手机>,3,5000,2000,1200,,,1300万像素+3D深感摄像头高清级像素高像素自拍手机>,2,1300,3,,,,海思,海思 麒麟9000手机性能排行>,8,256,1,2772x1344,,162.9x75.5x9.1mm,162.9,75.5,9.1,屏幕指纹 ,2020年10月30日,2020,10,1,1,4400
华为畅享20（4GB/128GB/全网通/5G版）参数,华为手机,1337911,,,,1,,6.6,1300万像素主摄镜头+800万像素超广角镜头+200万像素景深镜头高清级像素高清像素手机>,3,1300,800,200,,,800万像素>普通级像素高像素自拍手机>,1,800,,,,,联发科,联发科 MT6853 5G手机性能排行>,4,128,1,1600x720,266ppi,165.2x76x9.2mm,165.2,76,9.2,侧面指纹 ,2020年9月10日,2020,9,,1,5000
华为Mate30 Pro（8GB/128GB/全网通）参数,华为手机,1293893,,1,IP68,1,,6.53,4000万像素电影超广角镜头+4000万像素超感光镜头+800万像素长焦镜头+3D深感镜头高清级像素高清像素手机>,4,4000,4000,800,3,,3200万像素高清级像素高像素自拍手机>,1,3200,,,,,海思,海思 麒麟 990手机性能排行>,8,128,,2400x1176,,158.1x73.1x8.8mm,158.1,73.1,8.8,屏幕指纹 ,2019年09月,2019,09,1,1,4500
华为Mate30（8GB/128GB/全网通/5G版/玻璃版）参数,华为手机,1238183,,1,IP53,1,,6.62,4000万像素主摄镜头+1600万像素超广角镜头+800万像素长焦镜头高清级像素高清像素手机>,3,4000,1600,800,,,2400万像素高清级像素高像素自拍手机>,1,2400,,,,,海思,海思 麒麟 990 5G手机性能排行>,8,128,1,2340x1080,,160.8*76.1*8.4mm,160.8,76.1,8.4,屏幕指纹 ,2019年11月01日,2019,11,1,1,4200
